UTC_Time_ms,Received_UTC_ms,Latitude,Longitude,Speed_ms,Accuracy_m,Heading_deg,Altitude_m,Flags
1790255212906,1790255212906,57.708833,11.976767,8.222276,4,95.8,30,
1790255213906,1790255213906,57.708825,11.976906,8.373517,4,96,30,
1790255214906,1790255214906,57.708817,11.977045,8.373825,4,96.2,30,
1790255215906,1790255215906,57.708809,11.977185,8.42185,4,96.4,30,
1790255216906,1790255216906,57.7088,11.977328,8.769963,4,96.6,30,
1790255217906,1790255217906,57.70879,11.977482,9.471709,4,96.8,30,
1790255218906,1790255218906,57.70878,11.977646,10.005962,4,97,30,
1790255219906,1790255219906,57.708768,11.97782,10.571994,4,97.2,30,
1790255220906,1790255220906,57.708756,11.978003,11.113363,4,97.4,30,
1790255221906,1790255221906,57.708742,11.978196,11.66264,4,97.6,30,
1790255222906,1790255222906,57.708727,11.978398,12.221872,4,97.8,30,
1790255223906,1790255223906,57.708712,11.978609,12.848809,4,98,30,
1790255224906,1790255224906,57.708695,11.978829,13.425624,4,98.2,30,
1790255225906,1790255225906,57.708677,11.979058,13.893914,4,98.4,30,
1790255226906,1790255226906,57.708659,11.979292,14.015082,4,98.6,30,
1790255227906,1790255227906,57.708639,11.979525,14.061756,4,98.8,30,
1790255228906,1790255228906,57.70862,11.979757,13.852301,4,99,30,
1790255229906,1790255229906,57.7086,11.979988,13.839994,4,99.2,30,
1790255230906,1790255230906,57.70858,11.980218,13.870373,4,99.4,30,
1790255231906,1790255231906,57.70856,11.980448,13.921144,4,99.6,30,
1790255232906,1790255232906,57.708539,11.980678,13.933462,4,99.8,30,
1790255233906,1790255233906,57.708517,11.980908,13.954099,4,100,30,
1790255234906,1790255234906,57.708495,11.981138,13.87116,4,100.2,30,
1790255235906,1790255235906,57.708473,11.981368,13.9194,4,100.4,30,
1790255236906,1790255236906,57.70845,11.981598,13.897182,4,100.6,30,
1790255237906,1790255237906,57.708427,11.981827,13.929411,4,100.8,30,
1790255238906,1790255238906,57.708403,11.982057,13.83059,4,101,30,
1790255239906,1790255239906,57.708379,11.982286,13.952705,4,101.2,30,
1790255240906,1790255240906,57.708355,11.982515,13.905501,4,101.4,30,
1790255241906,1790255241906,57.70833,11.982744,13.878514,4,101.6,30,
1790255242906,1790255242906,57.708305,11.982972,13.939878,4,101.8,30,
1790255243906,1790255243906,57.708279,11.983201,13.904257,4,102,30,
1790255244906,1790255244906,57.708253,11.983429,13.934649,4,102.2,30,
1790255245906,1790255245906,57.708226,11.983657,13.862058,4,102.4,30,
1790255246906,1790255246906,57.7082,11.983883,13.75825,4,102.6,30,
1790255247906,1790255247906,57.708173,11.984104,13.36286,4,102.8,30,
1790255248906,1790255248906,57.708147,11.984318,12.927234,4,103,30,
1790255249906,1790255249906,57.708121,11.984527,12.644783,4,103.2,30,
1790255250906,1790255250906,57.708095,11.984729,12.259641,4,103.4,30,
1790255251906,1790255251906,57.70807,11.984925,11.916871,4,103.6,30,
1790255252906,1790255252906,57.708045,11.985116,11.589166,4,103.8,30,
1790255253906,1790255253906,57.708021,11.9853,11.205287,4,104,30,
1790255254906,1790255254906,57.707997,11.985478,10.725346,4,104.2,30,
1790255255906,1790255255906,57.707974,11.985646,9.94445,4,104.4,30,
1790255256906,1790255256906,57.707954,11.985795,8.795365,4,104.6,30,
1790255257906,1790255257906,57.707934,11.985933,8.350328,4,104.8,30,
1790255258906,1790255258906,57.707915,11.986067,8.353458,4,105,30,
1790255259906,1790255259906,57.707896,11.986201,8.242009,4,105.2,30,
1790255260906,1790255260906,57.707876,11.986336,8.256459,4,105.4,30,
1790255261906,1790255261906,57.707856,11.986471,8.325101,4,105.6,30,
1790255262906,1790255262906,57.707836,11.986606,8.308666,4,105.8,30,
1790255263906,1790255263906,57.707815,11.98674,8.248281,4,106,30,
1790255264906,1790255264906,57.707795,11.986875,8.318915,4,106.2,30,
1790255265906,1790255265906,57.707774,11.987008,8.106158,4,106.4,30,
1790255266906,1790255266906,57.707753,11.987137,7.87112,4,106.6,30,
1790255267906,1790255267906,57.707734,11.98726,7.575727,4,106.8,30,
1790255268906,1790255268906,57.707715,11.987377,7.187642,4,107,30,
1790255269906,1790255269906,57.707696,11.987489,6.782364,4,107.2,30,
1790255270906,1790255270906,57.707679,11.987594,6.45098,4,107.4,30,
1790255271906,1790255271906,57.707662,11.987694,6.051873,4,107.6,30,
1790255272906,1790255272906,57.707646,11.987787,5.75739,4,107.8,30,
1790255273906,1790255273906,57.707631,11.987875,5.451898,4,108,30,
1790255274906,1790255274906,57.707617,11.987957,5.049487,4,108.2,30,
1790255275906,1790255275906,57.707603,11.988033,4.564095,4,108.4,30,
1790255276906,1790255276906,57.707591,11.988103,4.297102,4,108.6,30,
1790255277906,1790255277906,57.707579,11.988167,3.918832,4,108.8,30,
1790255278906,1790255278906,57.707568,11.988226,3.560738,4,109,30,
1790255279906,1790255279906,57.70756,11.988272,2.529308,4,109.2,30,
1790255280906,1790255280906,57.707556,11.988292,0.657718,4,109.4,30,
1790255281906,1790255281906,57.707556,11.988292,0,4,109.6,30,
1790255282906,1790255282906,57.707556,11.988292,0,4,109.8,30,
1790255283906,1790255283906,57.707556,11.988292,0,4,110,30,
1790255284906,1790255284906,57.707556,11.988292,0,4,110.2,30,
1790255285906,1790255285906,57.707556,11.988292,0,4,110.4,30,
1790255286906,1790255286906,57.707556,11.988292,0,4,110.6,30,
1790255287906,1790255287906,57.707556,11.988292,0,4,110.8,30,
1790255288906,1790255288906,57.707556,11.988292,0,4,111,30,
1790255289906,1790255289906,57.707556,11.988292,0,4,111.2,30,
1790255290906,1790255290906,57.707556,11.988292,0,4,111.4,30,
1790255291906,1790255291906,57.707556,11.988292,0,4,111.6,30,
1790255292906,1790255292906,57.707556,11.988292,0,4,111.8,30,
1790255293906,1790255293906,57.707556,11.988292,0,4,112,30,
1790255294906,1790255294906,57.707556,11.988292,0,4,112.2,30,
1790255295906,1790255295906,57.707556,11.988292,0,4,112.4,30,
1790255296906,1790255296906,57.707556,11.988292,0,4,112.6,30,
1790255297906,1790255297906,57.707556,11.988292,0,4,112.8,30,
1790255298906,1790255298906,57.707556,11.988292,0,4,113,30,
1790255299906,1790255299906,57.707556,11.988292,0,4,113.2,30,
