Elapsed_Time_s,UTC_Time,UTC_Time_ms,GPS_Speed_kmh,GPS_Latitude,GPS_Longitude,GPS_Accuracy_m,GPS_Measurement_UTC_ms,GPS_Data_Age_s,IMU_Accel_X_Raw,IMU_Accel_Y_Raw,IMU_Accel_Z_Raw,IMU_Data_Age_s,Longitudinal_Acceleration_Raw,Longitudinal_Acceleration_Filtered,Acceleration_Source,Actual_Speed_kmh,Actual_Acceleration,Reference_Speed_kmh,Reference_Acceleration,Speed_Error_kmh,Acceleration_Error,Reference_Time_s,Reference_Distance_m,Actual_Distance_m,Distance_Error_m,Cycle_ID,Lap,Segment_ID,Phase,Driver_Command,Next_Phase,Time_To_Next_Phase_s,Within_Speed_Tolerance,Within_Acceleration_Tolerance,Quality_Flags,Simulated
1.1,2026-09-24T13:06:25.006Z,1790255185006,0,57.708916,11.974583,4,1790255184906,0.1,-0.006611,0.007363,9.824418,0,,,,0,,0,0,,,-3.9,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,3.9,,,IMU_CAL|SIM,1
1.2,2026-09-24T13:06:25.106Z,1790255185106,0,57.708916,11.974583,4,1790255184906,0.2,-0.013057,-0.047147,9.851483,0,,,,0,,0,0,,,-3.8,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,3.8,,,IMU_CAL|SIM,1
1.3,2026-09-24T13:06:25.206Z,1790255185206,0,57.708916,11.974583,4,1790255184906,0.3,0.039584,0.035315,9.826378,0,,,,0,,0,0,,,-3.7,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,3.7,,,IMU_CAL|SIM,1
1.4,2026-09-24T13:06:25.306Z,1790255185306,0,57.708916,11.974583,4,1790255184906,0.4,0.016097,0.005336,9.743399,0,,,,0,,0,0,,,-3.6,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,3.6,,,IMU_CAL|SIM,1
1.5,2026-09-24T13:06:25.406Z,1790255185406,0,57.708916,11.974583,4,1790255184906,0.5,0.026055,-0.011221,9.805434,0,,,,0,,0,0,,,-3.5,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,3.5,,,IMU_CAL|SIM,1
1.6,2026-09-24T13:06:25.506Z,1790255185506,0,57.708916,11.974583,4,1790255184906,0.6,-0.024625,-0.005775,9.808691,0,,,,0,,0,0,,,-3.4,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,3.4,,,IMU_CAL|SIM,1
1.7,2026-09-24T13:06:25.606Z,1790255185606,0,57.708916,11.974583,4,1790255184906,0.7,-0.012281,-0.028583,9.814451,0,,,,0,,0,0,,,-3.3,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,3.3,,,IMU_CAL|SIM,1
1.8,2026-09-24T13:06:25.706Z,1790255185706,0,57.708916,11.974583,4,1790255184906,0.8,0.030486,0.039177,9.811746,0,,,,0,,0,0,,,-3.2,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,3.2,,,IMU_CAL|SIM,1
1.9,2026-09-24T13:06:25.806Z,1790255185806,0,57.708916,11.974583,4,1790255184906,0.9,0.020058,0.033728,9.797333,0,,,,0,,0,0,,,-3.1,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,3.1,,,IMU_CAL|SIM,1
2,2026-09-24T13:06:25.906Z,1790255185906,0,57.708916,11.974583,4,1790255185906,0,0.025541,0.045277,9.815584,0,,,GPS,0,0,0,0,,,-3,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,3,,,IMU_CAL|SIM,1
2.1,2026-09-24T13:06:26.006Z,1790255186006,0,57.708916,11.974583,4,1790255185906,0.1,-0.04254,0.016513,9.793027,0,,,GPS,0,0,0,0,,,-2.9,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,2.9,,,IMU_CAL|SIM,1
2.2,2026-09-24T13:06:26.106Z,1790255186106,0,57.708916,11.974583,4,1790255185906,0.2,-0.073824,0.000045,9.785636,0,,,GPS,0,0,0,0,,,-2.8,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,2.8,,,IMU_CAL|SIM,1
2.3,2026-09-24T13:06:26.206Z,1790255186206,0,57.708916,11.974583,4,1790255185906,0.3,0.02533,0.007015,9.777581,0,,,GPS,0,0,0,0,,,-2.7,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,2.7,,,IMU_CAL|SIM,1
2.4,2026-09-24T13:06:26.306Z,1790255186306,0,57.708916,11.974583,4,1790255185906,0.4,0.013361,0.007743,9.875359,0,,,GPS,0,0,0,0,,,-2.6,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,2.6,,,IMU_CAL|SIM,1
2.5,2026-09-24T13:06:26.406Z,1790255186406,0,57.708916,11.974583,4,1790255185906,0.5,-0.012089,0.019404,9.835127,0,,,GPS,0,0,0,0,,,-2.5,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,2.5,,,IMU_CAL|SIM,1
2.6,2026-09-24T13:06:26.506Z,1790255186506,0,57.708916,11.974583,4,1790255185906,0.6,-0.002526,-0.003218,9.818095,0,,,GPS,0,0,0,0,,,-2.4,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,2.4,,,IMU_CAL|SIM,1
2.7,2026-09-24T13:06:26.606Z,1790255186606,0,57.708916,11.974583,4,1790255185906,0.7,0.023557,-0.045032,9.844365,0,,,GPS,0,0,0,0,,,-2.3,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,2.3,,,IMU_CAL|SIM,1
2.8,2026-09-24T13:06:26.706Z,1790255186706,0,57.708916,11.974583,4,1790255185906,0.8,0.019846,0.015899,9.805792,0,,,GPS,0,0,0,0,,,-2.2,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,2.2,,,IMU_CAL|SIM,1
2.9,2026-09-24T13:06:26.806Z,1790255186806,0,57.708916,11.974583,4,1790255185906,0.9,0.002854,0.041529,9.742864,0,,,GPS,0,0,0,0,,,-2.1,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,2.1,,,IMU_CAL|SIM,1
3,2026-09-24T13:06:26.906Z,1790255186906,0,57.708916,11.974583,4,1790255186906,0,-0.004588,-0.031708,9.810771,0,,,GPS,0,0,0,0,,,-2,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,2,,,IMU_CAL|SIM,1
3.1,2026-09-24T13:06:27.006Z,1790255187006,0,57.708916,11.974583,4,1790255186906,0.1,0.04482,0.001203,9.794433,0,,,GPS,0,0,0,0,,,-1.9,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,1.9,,,IMU_CAL|SIM,1
3.2,2026-09-24T13:06:27.106Z,1790255187106,0,57.708916,11.974583,4,1790255186906,0.2,0.0031,0.004813,9.757478,0,,,GPS,0,0,0,0,,,-1.8,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,1.8,,,IMU_CAL|SIM,1
3.3,2026-09-24T13:06:27.206Z,1790255187206,0,57.708916,11.974583,4,1790255186906,0.3,0.066134,-0.00641,9.84913,0,,,GPS,0,0,0,0,,,-1.7,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,1.7,,,IMU_CAL|SIM,1
3.4,2026-09-24T13:06:27.306Z,1790255187306,0,57.708916,11.974583,4,1790255186906,0.4,0.013427,-0.048946,9.770621,0,,,GPS,0,0,0,0,,,-1.6,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,1.6,,,IMU_CAL|SIM,1
3.5,2026-09-24T13:06:27.406Z,1790255187406,0,57.708916,11.974583,4,1790255186906,0.5,0.06125,-0.036192,9.810806,0,,,GPS,0,0,0,0,,,-1.5,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,1.5,,,IMU_CAL|SIM,1
3.6,2026-09-24T13:06:27.506Z,1790255187506,0,57.708916,11.974583,4,1790255186906,0.6,-0.031429,-0.075664,9.786468,0,,,GPS,0,0,0,0,,,-1.4,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,1.4,,,IMU_CAL|SIM,1
3.7,2026-09-24T13:06:27.606Z,1790255187606,0,57.708916,11.974583,4,1790255186906,0.7,0.018741,0.016843,9.795579,0,,,GPS,0,0,0,0,,,-1.3,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,1.3,,,IMU_CAL|SIM,1
3.8,2026-09-24T13:06:27.706Z,1790255187706,0,57.708916,11.974583,4,1790255186906,0.8,0.040988,-0.035768,9.808715,0,,,GPS,0,0,0,0,,,-1.2,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,1.2,,,IMU_CAL|SIM,1
3.9,2026-09-24T13:06:27.806Z,1790255187806,0,57.708916,11.974583,4,1790255186906,0.9,-0.07972,0.002884,9.819028,0,,,GPS,0,0,0,0,,,-1.1,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,1.1,,,IMU_CAL|SIM,1
4,2026-09-24T13:06:27.906Z,1790255187906,0,57.708916,11.974583,4,1790255187906,0,-0.057239,0.033993,9.899838,0,,,GPS,0,0,0,0,,,-1,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,1,,,IMU_CAL|SIM,1
4.1,2026-09-24T13:06:28.006Z,1790255188006,0,57.708916,11.974583,4,1790255187906,0.1,-0.020537,-0.00159,9.799501,0,,,GPS,0,0,0,0,,,-0.9,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,0.9,,,IMU_CAL|SIM,1
4.2,2026-09-24T13:06:28.106Z,1790255188106,0,57.708916,11.974583,4,1790255187906,0.2,0.033667,0.010482,9.889235,0,,,GPS,0,0,0,0,,,-0.8,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,0.8,,,IMU_CAL|SIM,1
4.3,2026-09-24T13:06:28.206Z,1790255188206,0,57.708916,11.974583,4,1790255187906,0.3,0.031317,-0.021933,9.811283,0,,,GPS,0,0,0,0,,,-0.7,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,0.7,,,IMU_CAL|SIM,1
4.4,2026-09-24T13:06:28.306Z,1790255188306,0,57.708916,11.974583,4,1790255187906,0.4,0.011955,0.015616,9.832921,0,,,GPS,0,0,0,0,,,-0.6,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,0.6,,,IMU_CAL|SIM,1
4.5,2026-09-24T13:06:28.406Z,1790255188406,0,57.708916,11.974583,4,1790255187906,0.5,-0.030441,0.030776,9.786072,0,,,GPS,0,0,0,0,,,-0.5,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,0.5,,,IMU_CAL|SIM,1
4.6,2026-09-24T13:06:28.506Z,1790255188506,0,57.708916,11.974583,4,1790255187906,0.6,-0.026485,0.031803,9.78072,0,,,GPS,0,0,0,0,,,-0.4,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,0.4,,,IMU_CAL|SIM,1
4.7,2026-09-24T13:06:28.606Z,1790255188606,0,57.708916,11.974583,4,1790255187906,0.7,-0.029976,-0.061903,9.853249,0,,,GPS,0,0,0,0,,,-0.3,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,0.3,,,IMU_CAL|SIM,1
4.8,2026-09-24T13:06:28.706Z,1790255188706,0,57.708916,11.974583,4,1790255187906,0.8,0.007722,0.05962,9.789978,0,,,GPS,0,0,0,0,,,-0.2,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,0.2,,,IMU_CAL|SIM,1
4.9,2026-09-24T13:06:28.806Z,1790255188806,0,57.708916,11.974583,4,1790255187906,0.9,0.003871,0.018874,9.798091,0,,,GPS,0,0,0,0,,,-0.1,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,0.1,,,IMU_CAL|SIM,1
5,2026-09-24T13:06:28.906Z,1790255188906,0,57.708916,11.974583,4,1790255188906,0,-0.021731,-0.018076,9.761122,0,,,GPS,0,0,0,0.5,0,0.5,0,0,0,0,47DE-BDC2,1,1,ACCEL,ACC,CONST,16.67,1,0,IMU_CAL|SIM,1
5.1,2026-09-24T13:06:29.006Z,1790255189006,0,57.708916,11.974583,4,1790255188906,0.1,-0.003821,0.134928,9.800816,0,,,GPS,0,0,0.18,0.5,0.18,0.5,0.1,0,0,0,47DE-BDC2,1,1,ACCEL,ACC,CONST,16.57,1,0,IMU_CAL|SIM,1
5.2,2026-09-24T13:06:29.106Z,1790255189106,0,57.708916,11.974583,4,1790255188906,0.2,0.023724,0.147594,9.745156,0,,,GPS,0,0,0.36,0.5,0.36,0.5,0.2,0.01,0,-0.01,47DE-BDC2,1,1,ACCEL,ACC,CONST,16.47,1,0,IMU_CAL|SIM,1
5.3,2026-09-24T13:06:29.206Z,1790255189206,0,57.708916,11.974583,4,1790255188906,0.3,0.090607,0.208124,9.835174,0,,,GPS,0,0,0.54,0.5,0.54,0.5,0.3,0.02,0,-0.02,47DE-BDC2,1,1,ACCEL,ACC,CONST,16.37,1,0,IMU_CAL|SIM,1
5.4,2026-09-24T13:06:29.306Z,1790255189306,0,57.708916,11.974583,4,1790255188906,0.4,0.03731,0.282991,9.82447,0,,,GPS,0,0,0.72,0.5,0.72,0.5,0.4,0.04,0,-0.04,47DE-BDC2,1,1,ACCEL,ACC,CONST,16.27,1,0,IMU_CAL|SIM,1
5.5,2026-09-24T13:06:29.406Z,1790255189406,0,57.708916,11.974583,4,1790255188906,0.5,0.017044,0.273956,9.85138,0,,,GPS,0,0,0.9,0.5,0.9,0.5,0.5,0.06,0,-0.06,47DE-BDC2,1,1,ACCEL,ACC,CONST,16.17,1,0,IMU_CAL|SIM,1
5.6,2026-09-24T13:06:29.506Z,1790255189506,0,57.708916,11.974583,4,1790255188906,0.6,0.099505,0.369718,9.823362,0,,,GPS,0,0,1.08,0.5,1.08,0.5,0.6,0.09,0,-0.09,47DE-BDC2,1,1,ACCEL,ACC,CONST,16.07,0,0,IMU_CAL|SIM,1
5.7,2026-09-24T13:06:29.606Z,1790255189606,0,57.708916,11.974583,4,1790255188906,0.7,0.036601,0.403892,9.747309,0,,,GPS,0,0,1.26,0.5,1.26,0.5,0.7,0.12,0,-0.12,47DE-BDC2,1,1,ACCEL,ACC,CONST,15.97,0,0,IMU_CAL|SIM,1
5.8,2026-09-24T13:06:29.706Z,1790255189706,0,57.708916,11.974583,4,1790255188906,0.8,0.088088,0.414729,9.86187,0,,,GPS,0,0,1.44,0.5,1.44,0.5,0.8,0.16,0,-0.16,47DE-BDC2,1,1,ACCEL,ACC,CONST,15.87,0,0,IMU_CAL|SIM,1
5.9,2026-09-24T13:06:29.806Z,1790255189806,0,57.708916,11.974583,4,1790255188906,0.9,0.070252,0.46988,9.796687,0,,,GPS,0,0,1.62,0.5,1.62,0.5,0.9,0.2,0,-0.2,47DE-BDC2,1,1,ACCEL,ACC,CONST,15.77,0,0,IMU_CAL|SIM,1
6,2026-09-24T13:06:29.906Z,1790255189906,0,57.708916,11.974585,4,1790255189906,0,0.088257,0.511811,9.784315,0,,,GPS,0,0,1.8,0.5,1.8,0.5,1,0.25,0,-0.25,47DE-BDC2,1,1,ACCEL,ACC_MORE,CONST,15.67,0,0,IMU_CAL|SIM,1
6.1,2026-09-24T13:06:30.006Z,1790255190006,0,57.708916,11.974585,4,1790255189906,0.1,0.084827,0.515686,9.797666,0,,,GPS,0,0,1.98,0.5,1.98,0.5,1.1,0.3,0,-0.3,47DE-BDC2,1,1,ACCEL,ACC_MORE,CONST,15.57,0,0,IMU_CAL|SIM,1
6.2,2026-09-24T13:06:30.106Z,1790255190106,0,57.708916,11.974585,4,1790255189906,0.2,0.091947,0.530658,9.830096,0,,,GPS,0,0,2.16,0.5,2.16,0.5,1.2,0.36,0,-0.36,47DE-BDC2,1,1,ACCEL,ACC_MORE,CONST,15.47,0,0,IMU_CAL|SIM,1
6.3,2026-09-24T13:06:30.206Z,1790255190206,0,57.708916,11.974585,4,1790255189906,0.3,0.148564,0.575878,9.833007,0,,,GPS,0,0,2.34,0.5,2.34,0.5,1.3,0.42,0,-0.42,47DE-BDC2,1,1,ACCEL,ACC_MORE,CONST,15.37,0,0,IMU_CAL|SIM,1
6.4,2026-09-24T13:06:30.306Z,1790255190306,0,57.708916,11.974585,4,1790255189906,0.4,0.111788,0.568235,9.847573,0,,,GPS,0,0,2.52,0.5,2.52,0.5,1.4,0.49,0,-0.49,47DE-BDC2,1,1,ACCEL,ACC_MORE,CONST,15.27,0,0,IMU_CAL|SIM,1
6.5,2026-09-24T13:06:30.406Z,1790255190406,0,57.708916,11.974585,4,1790255189906,0.5,0.135684,0.566582,9.875651,0,,,GPS,0,0,2.7,0.5,2.7,0.5,1.5,0.56,0,-0.56,47DE-BDC2,1,1,ACCEL,ACC_MORE,CONST,15.17,0,0,IMU_CAL|SIM,1
6.6,2026-09-24T13:06:30.506Z,1790255190506,0,57.708916,11.974585,4,1790255189906,0.6,0.099631,0.528812,9.818896,0,,,GPS,0,0,2.88,0.5,2.88,0.5,1.6,0.64,0,-0.64,47DE-BDC2,1,1,ACCEL,ACC_MORE,CONST,15.07,0,0,IMU_CAL|SIM,1
6.7,2026-09-24T13:06:30.606Z,1790255190606,0,57.708916,11.974585,4,1790255189906,0.7,0.089291,0.62087,9.796257,0,,,GPS,0,0,3.06,0.5,3.06,0.5,1.7,0.72,0,-0.72,47DE-BDC2,1,1,ACCEL,ACC_MORE,CONST,14.97,0,0,IMU_CAL|SIM,1
6.8,2026-09-24T13:06:30.706Z,1790255190706,0,57.708916,11.974585,4,1790255189906,0.8,0.107296,0.550731,9.80145,0,,,GPS,0,0,3.24,0.5,3.24,0.5,1.8,0.81,0,-0.81,47DE-BDC2,1,1,ACCEL,ACC_MORE,CONST,14.87,0,0,IMU_CAL|SIM,1
6.9,2026-09-24T13:06:30.806Z,1790255190806,0,57.708916,11.974585,4,1790255189906,0.9,0.118941,0.596481,9.817389,0,,,GPS,0,0,3.42,0.5,3.42,0.5,1.9,0.9,0,-0.9,47DE-BDC2,1,1,ACCEL,ACC_MORE,CONST,14.77,0,0,IMU_CAL|SIM,1
7,2026-09-24T13:06:30.906Z,1790255190906,2.711,57.708916,11.974594,4,1790255190906,0,0.066924,0.60393,9.860069,0,,,GPS,2.711,0.753,3.6,0.5,0.889,-0.253,2,1,0.38,-0.62,47DE-BDC2,1,1,ACCEL,ACC_MORE,CONST,14.67,1,0,IMU_CAL|SIM,1
7.1,2026-09-24T13:06:31.006Z,1790255191006,2.711,57.708916,11.974594,4,1790255190906,0.1,0.102836,0.576497,9.817562,0,,,GPS,2.982,0.753,3.78,0.5,0.798,-0.253,2.1,1.1,0.38,-0.73,47DE-BDC2,1,1,ACCEL,ACC_MORE,CONST,14.57,1,0,IMU_CAL|SIM,1
7.2,2026-09-24T13:06:31.106Z,1790255191106,2.711,57.708916,11.974594,4,1790255190906,0.2,0.1424,0.573848,9.77713,0,,,GPS,3.253,0.753,3.96,0.5,0.707,-0.253,2.2,1.21,0.38,-0.83,47DE-BDC2,1,1,ACCEL,ACC_MORE,CONST,14.47,1,0,IMU_CAL|SIM,1
7.3,2026-09-24T13:06:31.206Z,1790255191206,2.711,57.708916,11.974594,4,1790255190906,0.3,0.136465,0.563284,9.780593,0,,,GPS,3.524,0.753,4.14,0.5,0.616,-0.253,2.3,1.32,0.38,-0.95,47DE-BDC2,1,1,ACCEL,ACC_MORE,CONST,14.37,1,0,IMU_CAL|SIM,1
7.4,2026-09-24T13:06:31.306Z,1790255191306,2.711,57.708916,11.974594,4,1790255190906,0.4,0.121509,0.61658,9.824146,0,,,GPS,3.795,0.753,4.32,0.5,0.525,-0.253,2.4,1.44,0.38,-1.06,47DE-BDC2,1,1,ACCEL,ACC_MORE,CONST,14.27,1,0,IMU_CAL|SIM,1
7.5,2026-09-24T13:06:31.406Z,1790255191406,2.711,57.708916,11.974594,4,1790255190906,0.5,0.16739,0.628364,9.8585,0,,,GPS,4.066,0.753,4.5,0.5,0.434,-0.253,2.5,1.56,0.38,-1.19,47DE-BDC2,1,1,ACCEL,ACC_MORE,CONST,14.17,1,0,IMU_CAL|SIM,1
7.6,2026-09-24T13:06:31.506Z,1790255191506,2.711,57.708916,11.974594,4,1790255190906,0.6,0.119187,0.548129,9.808414,0,,,GPS,4.337,0.753,4.68,0.5,0.343,-0.253,2.6,1.69,0.38,-1.31,47DE-BDC2,1,1,ACCEL,RELEASE,CONST,14.07,1,0,IMU_CAL|SIM,1
7.7,2026-09-24T13:06:31.606Z,1790255191606,2.711,57.708916,11.974594,4,1790255190906,0.7,0.110713,0.586399,9.821979,0,,,GPS,4.608,0.753,4.86,0.5,0.252,-0.253,2.7,1.82,0.38,-1.45,47DE-BDC2,1,1,ACCEL,RELEASE,CONST,13.97,1,0,IMU_CAL|SIM,1
7.8,2026-09-24T13:06:31.706Z,1790255191706,2.711,57.708916,11.974594,4,1790255190906,0.8,0.117223,0.561793,9.785142,0,,,GPS,4.879,0.753,5.04,0.5,0.161,-0.253,2.8,1.96,0.38,-1.58,47DE-BDC2,1,1,ACCEL,RELEASE,CONST,13.87,1,0,IMU_CAL|SIM,1
7.9,2026-09-24T13:06:31.806Z,1790255191806,2.711,57.708916,11.974594,4,1790255190906,0.9,0.130578,0.534094,9.826008,0,,,GPS,5.15,0.753,5.22,0.5,0.07,-0.253,2.9,2.1,0.38,-1.73,47DE-BDC2,1,1,ACCEL,RELEASE,CONST,13.77,1,0,IMU_CAL|SIM,1
8,2026-09-24T13:06:31.906Z,1790255191906,5.14,57.708916,11.974614,4,1790255191906,0,0.074809,0.521493,9.837184,0,,,GPS,5.14,0.6748,5.4,0.5,0.26,-0.1748,3,2.25,1.47,-0.78,47DE-BDC2,1,1,ACCEL,RELEASE,CONST,13.67,1,0,IMU_CAL|SIM,1
8.1,2026-09-24T13:06:32.006Z,1790255192006,5.14,57.708916,11.974614,4,1790255191906,0.1,0.122568,0.562127,9.826792,0,,,GPS,5.383,0.6748,5.58,0.5,0.197,-0.1748,3.1,2.4,1.47,-0.94,47DE-BDC2,1,1,ACCEL,RELEASE,CONST,13.57,1,0,IMU_CAL|SIM,1
8.2,2026-09-24T13:06:32.106Z,1790255192106,5.14,57.708916,11.974614,4,1790255191906,0.2,0.085685,0.536875,9.82639,0,,,GPS,5.626,0.6748,5.76,0.5,0.134,-0.1748,3.2,2.56,1.47,-1.09,47DE-BDC2,1,1,ACCEL,RELEASE,CONST,13.47,1,0,IMU_CAL|SIM,1
8.3,2026-09-24T13:06:32.206Z,1790255192206,5.14,57.708916,11.974614,4,1790255191906,0.3,0.118936,0.492435,9.805676,0,,,GPS,5.869,0.6748,5.94,0.5,0.071,-0.1748,3.3,2.72,1.47,-1.26,47DE-BDC2,1,1,ACCEL,RELEASE,CONST,13.37,1,0,IMU_CAL|SIM,1
8.4,2026-09-24T13:06:32.306Z,1790255192306,5.14,57.708916,11.974614,4,1790255191906,0.4,0.087071,0.556416,9.728484,0,,,GPS,6.112,0.6748,6.12,0.5,0.008,-0.1748,3.4,2.89,1.47,-1.42,47DE-BDC2,1,1,ACCEL,RELEASE,CONST,13.27,1,0,IMU_CAL|SIM,1
8.5,2026-09-24T13:06:32.406Z,1790255192406,5.14,57.708916,11.974614,4,1790255191906,0.5,0.066043,0.539606,9.783523,0,,,GPS,6.355,0.6748,6.3,0.5,-0.055,-0.1748,3.5,3.06,1.47,-1.6,47DE-BDC2,1,1,ACCEL,RELEASE,CONST,13.17,1,0,IMU_CAL|SIM,1
8.6,2026-09-24T13:06:32.506Z,1790255192506,5.14,57.708916,11.974614,4,1790255191906,0.6,0.130934,0.491682,9.822053,0,,,GPS,6.598,0.6748,6.48,0.5,-0.118,-0.1748,3.6,3.24,1.47,-1.77,47DE-BDC2,1,1,ACCEL,RELEASE,CONST,13.07,1,0,IMU_CAL|SIM,1
8.7,2026-09-24T13:06:32.606Z,1790255192606,5.14,57.708916,11.974614,4,1790255191906,0.7,0.091649,0.533859,9.835453,0,,,GPS,6.841,0.6748,6.66,0.5,-0.181,-0.1748,3.7,3.42,1.47,-1.96,47DE-BDC2,1,1,ACCEL,RELEASE,CONST,12.97,1,0,IMU_CAL|SIM,1
8.8,2026-09-24T13:06:32.706Z,1790255192706,5.14,57.708916,11.974614,4,1790255191906,0.8,0.120574,0.581942,9.828505,0,,,GPS,7.083,0.6748,6.84,0.5,-0.243,-0.1748,3.8,3.61,1.47,-2.14,47DE-BDC2,1,1,ACCEL,RELEASE,CONST,12.87,1,0,IMU_CAL|SIM,1
8.9,2026-09-24T13:06:32.806Z,1790255192806,5.14,57.708916,11.974614,4,1790255191906,0.9,0.115334,0.521363,9.827331,0,,,GPS,7.326,0.6748,7.02,0.5,-0.306,-0.1748,3.9,3.8,1.47,-2.34,47DE-BDC2,1,1,ACCEL,RELEASE,CONST,12.77,1,0,IMU_CAL|SIM,1
